the	เดอะ
photo	ภาพถ่าย
photo	รูปภาพ
hope	โฮป
hope	หวัง
entered	ป้อน
mike	ไมค์
scientific	วิทยาศาสตร์
amount	จำนวน
spring	spring
spring	สปริง
kong	ฮ่องกง
opera	opera
opera	เปร่า
tried	พยายาม
critical	วิกฤติ
critical	วิกฤต
simple	ง่าย
simple	ง่ายๆ
hong	ฮอง
hong	ฮง
husband	ผัว
husband	สามี
technical	เทคนิค
necessary	จำเป็น
mountains	ภูเขา
hotel	โรงแรม
girls	สาว
girls	สาวๆ
feb	กุมภาพันธ์
boy	บอย
nation	ชาติ
nation	เนชั่น
nation	nation
defense	ป้องกัน
wiki	wiki
champions	แชมเปี้ยน
golden	golden
golden	โกลเด้น
golden	ทองคำ
districts	เขต
faith	ศรัทธา
racing	แข่ง
mainly	หลักๆ
auto	อัตโนมัติ
auto	auto
swedish	สวีเดน
hot	ร้อนๆ
hot	ร้อน
hot	hot
entertainment	บันเทิง
net	ตาข่าย
net	net
net	สุทธิ
net	เน็ต
net	ถ้วน
soccer	ฟุตบอล
product	สินค้า
product	ผลิตภัณฑ์
tower	หอคอย
tower	ทาวเวอร์
tower	หอ
votes	โหวต
squadron	ฝูงบิน
focus	โฟกัส
questions	คำถาม
memorial	อนุสรณ์
peace	สันติภาพ
peace	สันติ
peace	สันติสุข
kept	เก็บ
iran	อิหร่าน
korea	เกาหลี
analysis	วิเคราะห์
poor	คนจน
poor	ยากจน
grade	เกรด
judge	ตัดสิน
electric	รถไฟฟ้า
electric	ไฟฟ้า
corporation	คอร์ปอเรชั่น
hold	ถือ
hold	กุม
campus	วิทยาลัย
campus	วิทยาเขต
campus	มหาวิทยาลัย
brazil	บราซิล
chris	chris
increase	เพิ่ม
summary	สรุป
remaining	เหลือ
statement	คำแถลง
piano	เปียนโน
novels	นิยาย
novels	นวนิยาย
hour	ชั่วโมง
concept	แนวคิด
concept	concept
encyclopedia	สารานุกรม
difficult	ยาก
studied	ศึกษา
host	โฮสต์
host	จัด
wall	กำแพง
immediately	ทันที
pakistan	ปากีสถาน
marine	นาวิก
physical	กายภาพ
dec	เด็ค
dec	เดค
dec	เดธ
interview	interview
interview	สัมภาษณ์
coming	ที่มา
suggest	แนะนำ
emperor	จักรพรรดิ
letter	จดหมาย
couple	คู่
couple	คู่รัก
duke	ดุ๊ค
duke	ดุค
duke	ดุก
duke	ดุ๊ก
tell	บอก
follow	ติดตาม
follow	ตาม
tree	ต้น
tree	ต้นไม้
hits	ฮิต
jazz	แจ๊ซ
jazz	แจ๊ส
protection	ป้องกัน
relevant	เกี่ยวข้อง
count	จำนวนนับ
count	นับ
situation	สถานการณ์
reviews	วิจารณ์
reviews	รีวิว
classical	คลาสสิค
offered	เสนอ
lady	เลดี้
netherlands	เนเธอร์แลนด์
reports	รายงาน
influence	อิทธิพล
consider	พิจารณา
machine	เครื่องจักร
machine	แมชชีน
machine	เครื่อง
domain	โดเมน
elements	ธาตุ
types	ชนิด
types	ประเภท
serve	เสิร์ฟ
serve	เสริฟ
sydney	ซิดนีย์
ministry	กระทรวง
blood	โลหิต
blood	เลือด
bottom	ล่าง
boys	หนุ่มๆ
potential	ศักยภาพ
toronto	toronto
jun	จุน
steve	steve
nationality	สัญชาติ
scene	ฉาก
berlin	berlin
berlin	เบอร์ลิน
conditions	เงื่อนไข
arms	แขน
maybe	บางที
iron	เหล็ก
iron	เตารีด
churches	โบสถ์
positive	บวก
santa	ต้า
santa	santa
nom	nom
longew	longew
composed	แต่ง
latns	latns
ball	ลูกบอล
ball	บอล
indiana	อินเดียนา
soldiers	ทหาร
examples	ตัวอย่าง
korean	เกาหลี
genre	แนว
genre	ประเภท
fish	ฟิช
fish	ปลา
senate	วุฒิสภา
gun	ปืน
check	เช็ค
check	ตรวจ
plans	แผน
sign	ป้าย
sign	ลงชื่อ
sign	เซ็น
sweden	สวีเดน
heritage	มรดก
tag	แท็ก
doctor	ดอกเตอร์
doctor	หมอ
doctor	แพทย์
leaders	ผู้นำ
rivers	ลำน้ำ
rivers	แม่น้ำ
crime	อาชญากรรม
liberal	เสรีนิยม
stand	ยืน
stand	stand
stand	ทน
bob	บ็อบ
industrial	อุตสาหกรรม
answer	ตอบ
split	แยก
split	แบ่ง
apr	apr
sex	เพศ
sex	เซ็กซ์
sex	sex
mixed	ผสม
acting	ทำตัว
personnel	บุคลากร
die	ตาย
premier	พรีเมียร์
premier	premier
approach	เข้าหา
sentence	ประโยค
root	ราก
root	รูท
standards	มาตรฐาน
comics	การ์ตูน
miss	คิดถึง
miss	มิส
miss	พลาด
miss	นางงาม
horse	ม้า
lieutenant	หมวด
wood	วูด
wood	ไม้
plants	พืช
origin	ต้นทาง
origin	ที่มา
origin	กำเนิด
pretty	สวยๆ
pretty	สวย
rank	อันดับ
bus	รถเมล์
gas	แก๊ส
gas	ก๊าซ
gas	น้ำมัน
direction	ทิศทาง
guide	คู่มือ
guide	แนวทาง
resources	ทรัพยากร
affairs	กิจการ
animals	สัตว์
activity	กิจกรรม
laws	กฎหมาย
jim	jim
jim	จิม
remove	ลบ
reserve	สำรอง
atlantic	แอตแลนติก
ask	ถาม
ask	สอบถาม
fighting	สู้
jackson	แจ็กสัน
rose	rose
rose	กุหลาบ
rose	โรส
rose	โร
expanded	ขยาย
info	ข้อมูล
fame	เกียรติยศ
break	พัก
produce	ผลิต
exchange	แลก
kansas	แคนซัส
bring	นำ
charge	ประจุ
charge	ชาร์ต
charge	ชาร์จ
dedicated	ทุ่มเท
estate	คฤหาสน์
estate	อสังหาริมทรัพย์
piece	ชิ้น
piece	พีซี
piece	พีซ
trust	ใจ
trust	ไว้ใจ
applied	ประยุกต์
drums	กลอง
normal	ปรกติ
normal	ธรรมดา
normal	ปกติ
twenty	ยี่สิบ
avoid	เลี่ยง
tony	โท
norwegian	นอร์เวย์
criteria	เกณฑ์
context	บริบท
suggested	แนะ
suggested	แนะนำ
revolution	ปฏิวัติ
fully	ครบ
leaves	ใบไม้
advanced	ก้าวหน้า
medicine	เวชศาสตร์
medicine	ยา
garden	สวน
garden	garden
turkey	ตุรกี
females	สตรี
impact	impact
survey	สำรวจ
morning	เช้า
morning	morning
honor	เกียรติ
honor	เกียรติยศ
deep	ลึก
deep	deep
worth	มูลค่า
worth	คุ้ม
colorado	โคโลราโด
falls	น้ำตก
falls	ฟอลส์
zone	เขต
zone	โซน
solo	เดี่ยว
pay	จ่าย
pay	ชำระ
flag	ธงชาติ
flag	ธง
engineer	วิศวกร
cars	รถยนต์
cars	รถ
farm	farm
farm	ไร่
farm	ฟาร์ม
secret	secret
secret	ลับ
secret	ลับๆ
poet	กวี
build	สร้าง
versions	เวอร์ชัน
versions	เวอร์ชั่น
follows	ติดตาม
fixed	ตายตัว
fixed	ซ่อมแซม
documentary	สารคดี
equipment	อุปกรณ์
ray	เรย์
ray	ray
yellow	เหลือง
guard	องครักษ์
pressure	กดดัน
prison	คุก
freedom	เสรีภาพ
freedom	อิสระ
freedom	อิสรภาพ
norway	นอร์เวย์
quarter	ไตรมาส
independence	อิสรภาพ
independence	เอกราช
platform	แพลตฟอร์ม
rome	โรม
teacher	คุณครู
teacher	อาจารย์
teacher	ครู
copy	สำเนา
nuclear	นิวเคลียร์
pictures	รูป
pictures	แม่ค้า
models	รุ่น
easily	ง่ายดาย
thank	ขอบคุณ
institutions	สถาบัน
target	เป้า
stack	ซ้อน
stat	สถิติ
bronze	สัมฤทธิ์
sort	เรียง
sri	sri
sri	ศรี
unique	เอกลักษณ์
ocean	ทะเล
ocean	มหาสมุทร
ocean	ocean
cell	เซลล์
missouri	มิสซูรี
concert	concert
concert	คอนเสิร์ต
improve	ปรับปรุง
biography	ชีวประวัติ
contact	ติดต่อ
holy	ศีล
holy	ศักดิ์สิทธิ์
tennessee	เทนเนสซี
tennessee	เทนเนสซี่
sub	ซับ
sub	ย่อย
sub	sub
policies	นโยบาย
painting	จิตรกรรม
price	ราคา
mexican	เม็กซิโก
leadership	ผู้นำ
flying	ฟลาย
flying	บิน
message	จดหมาย
message	ข้อความ
serious	จริงจัง
cemetery	สุสาน
cemetery	ป่าช้า
memory	memory
fields	ฟิลด์
fields	ช่อง
generation	รุ่น
generation	ยุค
copies	สำเนา
representative	ตัวแทน
destroyed	ทำลาย
feet	ฟุต
feet	เท้า
feet	ฟิต
guy	กาย
philippines	ฟิลิปปินส์
conservative	อนุรักษนิยม
share	แชร์
maria	maria
disease	โรค
sections	ส่วน
philosophy	ปรัชญา
ways	วิธี
ways	วิถี
